city,date,time_steps,lat_points,lon_points,mean_t2m_c,max_t2m_c,p95_t2m_c
Lagos,2019-06-01,24,7,7,25.4,29.002,27.953
Lagos,2019-06-02,24,7,7,25.127,27.428,26.704
Lagos,2019-06-03,24,7,7,26.126,29.937,29.437
Lagos,2019-06-04,24,7,7,26.356,30.568,29.599
Lagos,2019-06-05,24,7,7,26.17,28.907,28.492
Lagos,2019-06-06,24,7,7,25.997,30.026,29.313
Singapore,2023-06-01,24,6,8,27.011,29.865,29.11
Singapore,2023-06-02,24,6,8,28.099,30.119,29.813
Singapore,2023-06-03,24,6,8,27.614,29.567,29.08
Singapore,2023-06-04,24,6,8,26.656,29.505,28.532
Singapore,2023-06-05,24,6,8,27.871,30.563,29.829
Beijing,2023-07-10,24,6,5,32.252,40.285,39.253
Beijing,2023-07-11,24,6,5,29.453,36.69,36.015
Beijing,2023-07-12,24,6,5,23.253,24.641,24.282
Beijing,2023-07-13,24,6,5,22.978,25.395,24.621
Dubai,2024-08-27,24,5,5,34.241,44.039,42.298
Dubai,2024-08-28,24,5,5,34.973,46.236,44.9
Dubai,2024-08-29,24,5,5,34.946,45.22,43.971
Dubai,2024-08-30,24,5,5,34.697,43.837,42.238
Dubai,2024-08-31,24,5,5,35.792,44.822,43.791
Jakarta,2024-12-26,24,5,5,26.553,30.099,29.501
Jakarta,2024-12-27,24,5,5,27.308,31.418,31.119
Jakarta,2024-12-28,24,5,5,27.756,32.49,31.866
Jakarta,2024-12-29,24,5,5,27.138,30.173,29.631
Jakarta,2024-12-30,24,5,5,26.448,30.394,29.786
Jakarta,2024-12-31,24,5,5,26.74,30.321,29.867
London,2023-08-31,24,7,9,13.933,17.219,16.319
London,2024-08-30,24,7,9,16.296,21.569,21.142
London,2024-08-31,24,7,9,16.451,19.767,19.185
Madrid,2022-08-24,24,5,5,28.562,36.991,35.824
Madrid,2022-08-25,24,5,5,26.707,34.327,33.771
Madrid,2022-08-26,24,5,5,24.492,32.341,31.366
Madrid,2022-08-27,24,5,5,24.38,31.862,31.108
Madrid,2022-08-28,24,5,5,25.995,33.647,32.846
Mumbai,2024-07-12,24,6,5,26.029,26.987,26.681
Nairobi,2021-12-25,24,5,6,18.415,25.532,22.794
Nairobi,2021-12-26,24,5,6,18.127,25.841,22.896
Nairobi,2021-12-27,24,5,6,18.663,27.163,23.59
Nairobi,2021-12-28,24,5,6,18.936,26.801,23.894
Nairobi,2021-12-29,24,5,6,19.379,28.229,25.223
Riyadh,2023-07-18,24,5,5,37.691,45.737,45.205
Riyadh,2023-07-19,24,5,5,36.983,44.98,44.445
Riyadh,2023-07-20,24,5,5,37.763,45.136,44.649
Riyadh,2023-07-21,24,5,5,37.772,44.609,44.16
Riyadh,2023-07-22,24,5,5,36.926,44.023,43.495
Seoul,2024-08-30,24,6,5,25.397,31.056,30.532
Seoul,2024-08-31,24,6,5,25.406,30.404,29.898
Shanghai,2019-06-01,24,5,6,20.605,24.909,23.702
Singapore,2024-08-18,24,6,8,27.241,29.812,29.412
Singapore,2024-08-19,24,6,8,26.616,29.986,29.008
Singapore,2024-08-20,24,6,8,26.104,28.253,27.886
Singapore,2024-08-21,24,6,8,26.145,28.279,27.473
Singapore,2024-08-22,24,6,8,27.08,29.658,29.088
Singapore,2024-08-23,24,6,8,26.213,29.198,28.305
