city,A2_inventory_days,A2_inventory_files_found_as_physical,A2_inventory_files_readable_as_temperature,physical_era5_files_present,readable_temperature_files_present
Beijing,0,0,0,4,4
Delhi,31,0,0,0,0
Dubai,552,5,5,5,5
Jakarta,0,0,0,6,6
Lagos,583,6,6,6,6
London,552,3,3,3,3
Madrid,0,0,0,5,5
Marrakech,552,0,0,0,0
Mumbai,0,0,0,1,1
Nairobi,0,0,0,5,5
New_York,552,0,0,0,0
Riyadh,0,0,0,5,5
Seoul,0,0,0,2,2
Shanghai,0,0,0,1,1
Singapore,583,11,11,11,11
Sydney,359,0,0,0,0
Tokyo,552,0,0,0,0
