size_bytes,lat,lon,assigned_city,distance_km,note
45037589,,,,,no_latlon_in_head
53549313,,,,,no_latlon_in_head
76873125,,,,,no_latlon_in_head
43860236,,,,,no_latlon_in_head
84002036,,,,,no_latlon_in_head
38020715,,,,,no_latlon_in_head
46115525,,,,,no_latlon_in_head
45227378,,,,,no_latlon_in_head
115924267,,,,,no_latlon_in_head
81845663,,,,,no_latlon_in_head
49411470,,,,,no_latlon_in_head
39874940,,,,,no_latlon_in_head
69144730,,,,,no_latlon_in_head
53142660,,,,,no_latlon_in_head
59055824,,,,,no_latlon_in_head
78752583,,,,,no_latlon_in_head
58597663,,,,,no_latlon_in_head
42943690,,,,,no_latlon_in_head
83654264,,,,,no_latlon_in_head
42175992,,,,,no_latlon_in_head
52138530,,,,,no_latlon_in_head
55353376,,,,,no_latlon_in_head
39080807,,,,,no_latlon_in_head
66691940,,,,,no_latlon_in_head
76129473,,,,,no_latlon_in_head
157647311,,,,,no_latlon_in_head
155522539,,,,,no_latlon_in_head
77111222,,,,,no_latlon_in_head
56700555,,,,,no_latlon_in_head
39769313,,,,,no_latlon_in_head
54176036,,,,,no_latlon_in_head
204935323,,,,,no_latlon_in_head
134985383,,,,,no_latlon_in_head
45598077,,,,,no_latlon_in_head
49485570,,,,,no_latlon_in_head
216899158,,,,,no_latlon_in_head
53991463,,,,,no_latlon_in_head
69037891,,,,,no_latlon_in_head
176423588,,,,,no_latlon_in_head
86221764,,,,,no_latlon_in_head
54544302,,,,,no_latlon_in_head
45950190,,,,,no_latlon_in_head
43927711,,,,,no_latlon_in_head
81109923,,,,,no_latlon_in_head
84297746,,,,,no_latlon_in_head
53402916,,,,,no_latlon_in_head
156060768,,,,,no_latlon_in_head
71894943,,,,,no_latlon_in_head
61119487,,,,,no_latlon_in_head
44648002,,,,,no_latlon_in_head
42721992,,,,,no_latlon_in_head
36715022,,,,,no_latlon_in_head
55933085,,,,,no_latlon_in_head
57371219,,,,,no_latlon_in_head
80463930,,,,,no_latlon_in_head
38052954,,,,,no_latlon_in_head
41551714,,,,,no_latlon_in_head
39615398,,,,,no_latlon_in_head
82887429,,,,,no_latlon_in_head
90111883,,,,,no_latlon_in_head
38432471,,,,,no_latlon_in_head
61668097,,,,,no_latlon_in_head
50020790,,,,,no_latlon_in_head
57445954,,,,,no_latlon_in_head
46351238,,,,,no_latlon_in_head
69553039,,,,,no_latlon_in_head
249916906,,,,,no_latlon_in_head
38953935,,,,,no_latlon_in_head
201875970,,,,,no_latlon_in_head
67677850,,,,,no_latlon_in_head
148750782,,,,,no_latlon_in_head
39030234,,,,,no_latlon_in_head
269558914,,,,,no_latlon_in_head
85940292,,,,,no_latlon_in_head
53327366,,,,,no_latlon_in_head
