size_bytes,lat,lon,assigned_city,distance_km,note
39988155,,,,,no_latlon_in_head
69766095,,,,,no_latlon_in_head
79681635,,,,,no_latlon_in_head
65570378,,,,,no_latlon_in_head
82939599,,,,,no_latlon_in_head
50357134,,,,,no_latlon_in_head
42511295,,,,,no_latlon_in_head
53677080,,,,,no_latlon_in_head
60888122,,,,,no_latlon_in_head
68444156,,,,,no_latlon_in_head
73929445,,,,,no_latlon_in_head
45959418,,,,,no_latlon_in_head
127327398,,,,,no_latlon_in_head
94374400,,,,,no_latlon_in_head
87340357,,,,,no_latlon_in_head
132168929,,,,,no_latlon_in_head
66204658,,,,,no_latlon_in_head
44433390,,,,,no_latlon_in_head
73781198,,,,,no_latlon_in_head
36720532,,,,,no_latlon_in_head
38061840,,,,,no_latlon_in_head
73140462,,,,,no_latlon_in_head
64931940,,,,,no_latlon_in_head
73692009,,,,,no_latlon_in_head
76125630,,,,,no_latlon_in_head
53927935,,,,,no_latlon_in_head
179579366,,,,,no_latlon_in_head
175822615,,,,,no_latlon_in_head
43538368,,,,,no_latlon_in_head
107040530,,,,,no_latlon_in_head
97148298,,,,,no_latlon_in_head
117886172,,,,,no_latlon_in_head
63297079,,,,,no_latlon_in_head
78312407,,,,,no_latlon_in_head
47659601,,,,,no_latlon_in_head
115609029,,,,,no_latlon_in_head
65689615,,,,,no_latlon_in_head
118968087,,,,,no_latlon_in_head
67494350,,,,,no_latlon_in_head
52739100,,,,,no_latlon_in_head
38126516,,,,,no_latlon_in_head
48995417,,,,,no_latlon_in_head
37718416,,,,,no_latlon_in_head
101045703,,,,,no_latlon_in_head
52764251,,,,,no_latlon_in_head
57707649,,,,,no_latlon_in_head
141575074,,,,,no_latlon_in_head
52610680,,,,,no_latlon_in_head
48711068,,,,,no_latlon_in_head
38062470,,,,,no_latlon_in_head
115040863,,,,,no_latlon_in_head
38292077,,,,,no_latlon_in_head
248592092,,,,,no_latlon_in_head
118283215,,,,,no_latlon_in_head
294104698,,,,,no_latlon_in_head
39248895,,,,,no_latlon_in_head
59947529,,,,,no_latlon_in_head
211205535,,,,,no_latlon_in_head
81549100,,,,,no_latlon_in_head
45932679,,,,,no_latlon_in_head
193150968,,,,,no_latlon_in_head
54010255,,,,,no_latlon_in_head
387891858,,,,,no_latlon_in_head
116966568,,,,,no_latlon_in_head
97199900,,,,,no_latlon_in_head
64113785,,,,,no_latlon_in_head
47846125,,,,,no_latlon_in_head
131922033,,,,,no_latlon_in_head
39348848,,,,,no_latlon_in_head
39238191,,,,,no_latlon_in_head
89765130,,,,,no_latlon_in_head
76631823,,,,,no_latlon_in_head
71585816,,,,,no_latlon_in_head
165873782,,,,,no_latlon_in_head
72694767,,,,,no_latlon_in_head
100917825,,,,,no_latlon_in_head
63004888,,,,,no_latlon_in_head
49490063,,,,,no_latlon_in_head
61990217,,,,,no_latlon_in_head
143503063,,,,,no_latlon_in_head
79931752,,,,,no_latlon_in_head
83241248,,,,,no_latlon_in_head
94478114,,,,,no_latlon_in_head
121569080,,,,,no_latlon_in_head
66026298,,,,,no_latlon_in_head
275174252,,,,,no_latlon_in_head
288481218,,,,,no_latlon_in_head
41280218,,,,,no_latlon_in_head
72251060,,,,,no_latlon_in_head
89594267,,,,,no_latlon_in_head
49692823,,,,,no_latlon_in_head
107343856,,,,,no_latlon_in_head
41134217,,,,,no_latlon_in_head
124866318,,,,,no_latlon_in_head
60391736,,,,,no_latlon_in_head
143072636,,,,,no_latlon_in_head
98036617,,,,,no_latlon_in_head
37003834,,,,,no_latlon_in_head
37837519,,,,,no_latlon_in_head
59663087,,,,,no_latlon_in_head
65872193,,,,,no_latlon_in_head
41072741,,,,,no_latlon_in_head
74890536,,,,,no_latlon_in_head
70785735,,,,,no_latlon_in_head
56917488,,,,,no_latlon_in_head
54252351,,,,,no_latlon_in_head
42748643,,,,,no_latlon_in_head
111367847,,,,,no_latlon_in_head
130847217,,,,,no_latlon_in_head
49075476,,,,,no_latlon_in_head
42055002,,,,,no_latlon_in_head
39691937,,,,,no_latlon_in_head
56610264,,,,,no_latlon_in_head
131174387,,,,,no_latlon_in_head
61336966,,,,,no_latlon_in_head
46349871,,,,,no_latlon_in_head
54591028,,,,,no_latlon_in_head
131086689,,,,,no_latlon_in_head
40229030,,,,,no_latlon_in_head
57510851,,,,,no_latlon_in_head
76891615,,,,,no_latlon_in_head
97102209,,,,,no_latlon_in_head
44300222,,,,,no_latlon_in_head
120479363,,,,,no_latlon_in_head
87762040,,,,,no_latlon_in_head
104337623,,,,,no_latlon_in_head
75439660,,,,,no_latlon_in_head
48923838,,,,,no_latlon_in_head
61998889,,,,,no_latlon_in_head
252944667,,,,,no_latlon_in_head
38507915,,,,,no_latlon_in_head
47735802,,,,,no_latlon_in_head
78691958,,,,,no_latlon_in_head
49522003,,,,,no_latlon_in_head
44834004,,,,,no_latlon_in_head
54285772,,,,,no_latlon_in_head
43609013,,,,,no_latlon_in_head
39412350,,,,,no_latlon_in_head
36735638,,,,,no_latlon_in_head
52820607,,,,,no_latlon_in_head
81853620,,,,,no_latlon_in_head
168072391,,,,,no_latlon_in_head
53818751,,,,,no_latlon_in_head
61938748,,,,,no_latlon_in_head
46709722,,,,,no_latlon_in_head
63336015,,,,,no_latlon_in_head
89525225,,,,,no_latlon_in_head
37953717,,,,,no_latlon_in_head
47123220,,,,,no_latlon_in_head
40244531,,,,,no_latlon_in_head
67542255,,,,,no_latlon_in_head
121563672,,,,,no_latlon_in_head
88598716,,,,,no_latlon_in_head
47316845,,,,,no_latlon_in_head
43550896,,,,,no_latlon_in_head
53038868,,,,,no_latlon_in_head
51780727,,,,,no_latlon_in_head
54776830,,,,,no_latlon_in_head
45495447,,,,,no_latlon_in_head
45617887,,,,,no_latlon_in_head
36949186,,,,,no_latlon_in_head
37009798,,,,,no_latlon_in_head
50281691,,,,,no_latlon_in_head
57975420,,,,,no_latlon_in_head
50605134,,,,,no_latlon_in_head
46890592,,,,,no_latlon_in_head
48951048,,,,,no_latlon_in_head
57016456,,,,,no_latlon_in_head
47805709,,,,,no_latlon_in_head
111297744,,,,,no_latlon_in_head
102263733,,,,,no_latlon_in_head
141790015,,,,,no_latlon_in_head
246396774,,,,,no_latlon_in_head
87570717,,,,,no_latlon_in_head
110247544,,,,,no_latlon_in_head
93798969,,,,,no_latlon_in_head
100515921,,,,,no_latlon_in_head
71931914,,,,,no_latlon_in_head
95695228,,,,,no_latlon_in_head
45743183,,,,,no_latlon_in_head
66853651,,,,,no_latlon_in_head
76873072,,,,,no_latlon_in_head
102163663,,,,,no_latlon_in_head
43999132,,,,,no_latlon_in_head
42641826,,,,,no_latlon_in_head
65129228,,,,,no_latlon_in_head
59941474,,,,,no_latlon_in_head
45531127,,,,,no_latlon_in_head
51560151,,,,,no_latlon_in_head
44779368,,,,,no_latlon_in_head
47535570,,,,,no_latlon_in_head
106515038,,,,,no_latlon_in_head
59694468,,,,,no_latlon_in_head
41677748,,,,,no_latlon_in_head
43258261,,,,,no_latlon_in_head
41373863,,,,,no_latlon_in_head
49041458,,,,,no_latlon_in_head
