city,has_overture,has_era5,n_features_overture,n_era5_days,ghs_tiles
Bangkok,True,False,63088,0,pending_A5_refine
Beijing,True,False,47980,0,pending_A5_refine
Cairo,True,False,48075,0,pending_A5_refine
Delhi,True,True,47601,31,pending_A5_refine
Dhaka,True,False,54342,0,pending_A5_refine
Dubai,True,True,23044,552,pending_A5_refine
Fez,True,False,7940,0,pending_A5_refine
Istanbul,True,False,40579,0,pending_A5_refine
Jaipur,True,False,43190,0,pending_A5_refine
Jakarta,True,False,96350,0,pending_A5_refine
Kinshasa,True,False,81499,0,pending_A5_refine
Lagos,True,True,131976,583,pending_A5_refine
Lima,True,False,58466,0,pending_A5_refine
London,True,True,37890,552,pending_A5_refine
Los_Angeles,True,False,53343,0,pending_A5_refine
Madrid,True,False,22124,0,pending_A5_refine
Marrakech,True,True,28533,552,pending_A5_refine
Mexico_City,True,False,50547,0,pending_A5_refine
Mumbai,True,False,13280,0,pending_A5_refine
Nairobi,True,False,32857,0,pending_A5_refine
New_York,True,True,186809,552,pending_A5_refine
Paris,True,False,22992,0,pending_A5_refine
Riyadh,True,False,18710,0,pending_A5_refine
Sao_Paulo,True,False,50504,0,pending_A5_refine
Seoul,True,False,25920,0,pending_A5_refine
Shanghai,True,False,29008,0,pending_A5_refine
Singapore,True,True,17078,583,pending_A5_refine
Sydney,True,True,6030,359,pending_A5_refine
Tehran,True,False,33968,0,pending_A5_refine
Tokyo,True,True,80820,552,pending_A5_refine
