city,centroid_lon_wgs84,centroid_lat_wgs84,ghs_zip_count_seen,note
Bangkok,100.5018,13.7563,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Beijing,116.4074,39.9042,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Cairo,31.2357,30.0444,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Delhi,77.209,28.6139,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Dhaka,90.4125,23.8103,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Dubai,55.2708,25.2048,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Fez,-5.0078,34.0181,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Istanbul,28.9784,41.0082,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Jaipur,75.7873,26.9124,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Jakarta,106.8451,-6.2088,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Kinshasa,15.2663,-4.4419,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Lagos,3.3792,6.5244,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Lima,-77.0428,-12.0464,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
London,-0.1278,51.5074,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Los_Angeles,-118.2437,34.0522,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Madrid,-3.7038,40.4168,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Marrakech,-7.9811,31.6295,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Mexico_City,-99.1332,19.4326,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Mumbai,72.8777,19.076,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Nairobi,36.8219,-1.2921,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
New_York,-74.006,40.7128,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Paris,2.3522,48.8566,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Riyadh,46.6753,24.7136,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Sao_Paulo,-46.6333,-23.5505,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Seoul,126.978,37.5665,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Shanghai,121.4737,31.2304,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Singapore,103.8198,1.3521,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Sydney,151.2093,-33.8688,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Tehran,51.389,35.6892,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
Tokyo,139.6917,35.6895,22,Full tile assignment requires projecting centroid to EPSG:54009 and intersecting tile geotransform; run refine step or QGIS.
