city,year,month,day,size_bytes
Dubai,2020,8,2,76189
Dubai,2020,8,3,76039
Dubai,2020,8,4,75950
Dubai,2020,8,5,76025
Dubai,2020,8,6,76130
Dubai,2020,8,7,76088
Dubai,2020,8,8,76138
Dubai,2020,8,9,76110
Dubai,2020,8,10,76223
Dubai,2020,8,11,76306
Dubai,2020,8,12,76147
Dubai,2020,8,13,76381
Dubai,2020,8,14,76010
Dubai,2020,8,15,76271
Dubai,2020,8,16,76224
Dubai,2020,8,17,76044
Dubai,2020,8,18,76221
Dubai,2020,8,19,76514
Dubai,2020,8,20,76030
Dubai,2020,8,21,76296
Dubai,2020,8,22,76093
Dubai,2020,8,23,76053
Dubai,2020,8,24,76279
Dubai,2020,8,25,76304
Dubai,2020,8,26,76365
Dubai,2020,8,27,76683
Dubai,2020,8,28,76418
Dubai,2020,8,29,76030
Dubai,2020,8,30,76592
Dubai,2020,8,31,76059
Dubai,2021,6,1,76156
Dubai,2021,6,2,76194
Dubai,2021,6,3,76548
Dubai,2021,6,4,76325
Dubai,2021,6,5,76521
Dubai,2021,6,6,76179
Dubai,2021,6,7,76199
Dubai,2021,6,8,76103
Dubai,2021,6,9,76575
Dubai,2021,6,10,76159
Dubai,2021,6,11,76215
Dubai,2021,6,12,76117
Dubai,2021,6,13,76477
Dubai,2021,6,14,76119
Dubai,2021,6,15,76139
Dubai,2021,6,16,76029
Dubai,2021,6,17,76362
Dubai,2021,6,18,76182
Dubai,2021,6,19,76257
Dubai,2021,6,20,76314
Dubai,2021,6,21,76338
Dubai,2021,6,22,76285
Dubai,2021,6,23,76279
Dubai,2021,6,24,76238
Dubai,2021,6,25,76133
Dubai,2021,6,26,76227
Dubai,2021,6,27,76208
Dubai,2021,6,28,76117
Dubai,2021,6,29,76082
Dubai,2021,6,30,76138
Dubai,2021,7,1,76099
Dubai,2021,7,2,76112
Dubai,2021,7,3,76199
Dubai,2021,7,4,76202
Dubai,2021,7,5,76541
Dubai,2021,7,6,76305
Dubai,2021,7,7,76202
Dubai,2021,7,8,76180
Dubai,2021,7,9,76161
Dubai,2021,7,10,76274
Dubai,2021,7,11,76255
Dubai,2021,7,12,76361
Dubai,2021,7,13,76226
Dubai,2021,7,14,76189
Dubai,2021,7,15,76491
Dubai,2021,7,16,76036
Dubai,2021,7,17,76492
Dubai,2021,7,18,76683
Dubai,2021,7,19,76091
Dubai,2021,7,20,76149
Dubai,2021,7,21,76119
Dubai,2021,7,22,76090
Dubai,2021,7,23,76145
Dubai,2021,7,24,76164
Dubai,2021,7,25,76546
Dubai,2021,7,26,76085
Dubai,2021,7,27,76072
Dubai,2021,7,28,76182
Dubai,2021,7,29,76238
Dubai,2021,7,30,76262
Dubai,2021,7,31,76549
Dubai,2021,8,1,76165
Dubai,2021,8,2,76126
Dubai,2021,8,3,76473
Dubai,2021,8,4,76015
Dubai,2021,8,5,76023
Dubai,2021,8,6,76377
Dubai,2021,8,7,76253
Dubai,2021,8,8,76642
Dubai,2021,8,9,76276
Dubai,2021,8,10,76184
Dubai,2021,8,11,76196
Dubai,2021,8,12,76476
Dubai,2021,8,13,76126
Dubai,2021,8,14,76480
Dubai,2021,8,15,76146
Dubai,2021,8,16,76337
Dubai,2021,8,17,76401
Dubai,2021,8,18,76202
Dubai,2021,8,19,76472
Dubai,2021,8,20,76183
Dubai,2021,8,21,76124
Dubai,2021,8,22,76149
Dubai,2021,8,23,76167
Dubai,2021,8,24,76558
Dubai,2021,8,25,76503
Dubai,2021,8,26,76132
Dubai,2021,8,27,76154
Dubai,2021,8,28,76273
Dubai,2021,8,29,76393
Dubai,2021,8,30,76187
Dubai,2021,8,31,76189
Dubai,2022,6,1,76245
Dubai,2022,6,2,76222
Dubai,2022,6,3,76195
Dubai,2022,6,4,76264
Dubai,2022,6,5,76249
Dubai,2022,6,6,76170
Dubai,2022,6,7,76197
Dubai,2022,6,8,76232
Dubai,2022,6,9,76107
Dubai,2022,6,10,76013
Dubai,2022,6,11,76130
Dubai,2022,6,12,76226
Dubai,2022,6,13,76326
Dubai,2022,6,14,76254
Dubai,2022,6,15,76266
Dubai,2022,6,16,76139
Dubai,2022,6,17,76109
Dubai,2022,6,18,76318
Dubai,2022,6,19,76148
Dubai,2022,6,20,76168
Dubai,2022,6,21,76216
Dubai,2022,6,22,76262
Dubai,2022,6,23,76174
Dubai,2022,6,24,76251
Dubai,2022,6,25,76466
Dubai,2022,6,26,76049
Dubai,2022,6,27,76372
Dubai,2022,6,28,76341
Dubai,2022,6,29,76258
Dubai,2022,6,30,76283
Dubai,2022,7,1,76617
Dubai,2022,7,2,76153
Dubai,2022,7,3,76282
Dubai,2022,7,4,76549
Dubai,2022,7,5,76620
Dubai,2022,7,6,76678
Dubai,2022,7,7,76795
Dubai,2022,7,8,76791
Dubai,2022,7,9,76733
Dubai,2022,7,10,76736
Dubai,2022,7,11,76576
Dubai,2022,7,12,76202
Dubai,2022,7,13,76405
Dubai,2022,7,14,76128
Dubai,2022,7,15,76262
Dubai,2022,7,16,76265
Dubai,2022,7,17,76212
Dubai,2022,7,18,76243
Dubai,2022,7,19,76190
Dubai,2022,7,20,76256
Dubai,2022,7,21,76653
Dubai,2022,7,22,76646
Dubai,2022,7,23,76156
Dubai,2022,7,24,76293
Dubai,2022,7,25,76609
Dubai,2022,7,26,77100
Dubai,2022,7,27,77306
Dubai,2022,7,28,76787
Dubai,2022,7,29,76620
Dubai,2022,7,30,76604
Dubai,2022,7,31,76114
Dubai,2022,8,1,76756
Dubai,2022,8,2,76508
Dubai,2022,8,3,76296
Dubai,2022,8,4,76563
Dubai,2022,8,5,76497
Dubai,2022,8,6,76206
Dubai,2022,8,7,76115
Dubai,2022,8,8,76062
Dubai,2022,8,9,76369
Dubai,2022,8,10,76126
Dubai,2022,8,11,76169
Dubai,2022,8,12,76266
Dubai,2022,8,13,76149
Dubai,2022,8,14,76180
Dubai,2022,8,15,76182
Dubai,2022,8,16,76357
Dubai,2022,8,17,76209
Dubai,2022,8,18,76130
Dubai,2022,8,19,76449
Dubai,2022,8,20,76251
Dubai,2022,8,21,76125
Dubai,2022,8,22,76226
Dubai,2022,8,23,76240
Dubai,2022,8,24,76270
Dubai,2022,8,25,76080
Dubai,2022,8,26,76006
Dubai,2022,8,27,76164
Dubai,2022,8,28,76100
Dubai,2022,8,29,76208
Dubai,2022,8,30,76198
Dubai,2022,8,31,76114
Dubai,2023,6,1,76057
Dubai,2023,6,2,76218
Dubai,2023,6,3,75967
Dubai,2023,6,4,76189
Dubai,2023,6,5,76177
Dubai,2023,6,6,76164
Dubai,2023,6,7,76078
Dubai,2023,6,8,76024
Dubai,2023,6,9,76154
Dubai,2023,6,10,76453
Dubai,2023,6,11,76216
Dubai,2023,6,12,76197
Dubai,2023,6,13,76089
Dubai,2023,6,14,76183
Dubai,2023,6,15,76226
Dubai,2023,6,16,76226
Dubai,2023,6,17,76371
Dubai,2023,6,18,76176
Dubai,2023,6,19,76207
Dubai,2023,6,20,76495
Dubai,2023,6,21,76208
Dubai,2023,6,22,76330
Dubai,2023,6,23,76550
Dubai,2023,6,24,76254
Dubai,2023,6,25,76224
Dubai,2023,6,26,76533
Dubai,2023,6,27,76245
Dubai,2023,6,28,76199
Dubai,2023,6,29,76155
Dubai,2023,6,30,76394
Dubai,2023,7,1,76118
Dubai,2023,7,2,76152
Dubai,2023,7,3,76151
Dubai,2023,7,4,76177
Dubai,2023,7,5,76070
Dubai,2023,7,6,76294
Dubai,2023,7,7,76314
Dubai,2023,7,8,76265
Dubai,2023,7,9,76543
Dubai,2023,7,10,76549
Dubai,2023,7,11,76241
Dubai,2023,7,12,76396
Dubai,2023,7,13,76418
Dubai,2023,7,14,76317
Dubai,2023,7,15,76266
Dubai,2023,7,16,76216
Dubai,2023,7,17,76216
Dubai,2023,7,18,76504
Dubai,2023,7,19,76458
Dubai,2023,7,20,76104
Dubai,2023,7,21,76309
Dubai,2023,7,22,76368
Dubai,2023,7,23,76157
Dubai,2023,7,24,76327
Dubai,2023,7,25,76320
Dubai,2023,7,26,76044
Dubai,2023,7,27,76177
Dubai,2023,7,28,76214
Dubai,2023,7,29,76187
Dubai,2023,7,30,76237
Dubai,2023,7,31,76003
Dubai,2023,8,1,76500
Dubai,2023,8,2,76634
Dubai,2023,8,3,76175
Dubai,2023,8,4,76253
Dubai,2023,8,5,76630
Dubai,2023,8,6,76122
Dubai,2023,8,7,76235
Dubai,2023,8,8,76172
Dubai,2023,8,9,76380
Dubai,2023,8,10,76477
Dubai,2023,8,11,76214
Dubai,2023,8,12,76462
Dubai,2023,8,13,76414
Dubai,2023,8,14,76039
Dubai,2023,8,15,76232
Dubai,2023,8,16,76226
Dubai,2023,8,17,76184
Dubai,2023,8,18,76123
Dubai,2023,8,19,76057
Dubai,2023,8,20,76107
Dubai,2023,8,21,76038
Dubai,2023,8,22,76006
Dubai,2023,8,23,75984
Dubai,2023,8,24,76317
Dubai,2023,8,25,76257
Dubai,2023,8,26,76334
Dubai,2023,8,27,76156
