city,physical_files_found,readable_temperature_files,first_readable_date,last_readable_date,mean_daily_mean_t2m_c,p95_daily_max_t2m_c,max_daily_max_t2m_c,hot_days_tmax_ge_30c,hot_days_tmax_ge_35c,source_scope
Beijing,4,4,2023-07-10,2023-07-13,26.984,39.746,40.285,2,2,readable physical ERA5 files present in local project tree
Dubai,5,5,2024-08-27,2024-08-31,34.93,46.033,46.236,5,5,readable physical ERA5 files present in local project tree
Jakarta,6,6,2024-12-26,2024-12-31,26.991,32.222,32.49,6,0,readable physical ERA5 files present in local project tree
Lagos,6,6,2019-06-01,2019-06-06,25.863,30.433,30.568,2,0,readable physical ERA5 files present in local project tree
London,3,3,2023-08-31,2024-08-31,15.56,21.389,21.569,0,0,readable physical ERA5 files present in local project tree
Madrid,5,5,2022-08-24,2022-08-28,26.027,36.458,36.991,5,1,readable physical ERA5 files present in local project tree
Mumbai,1,1,2024-07-12,2024-07-12,26.029,26.987,26.987,0,0,readable physical ERA5 files present in local project tree
Nairobi,5,5,2021-12-25,2021-12-29,18.704,28.016,28.229,0,0,readable physical ERA5 files present in local project tree
Riyadh,5,5,2023-07-18,2023-07-22,37.427,45.617,45.737,5,5,readable physical ERA5 files present in local project tree
Seoul,2,2,2024-08-30,2024-08-31,25.401,31.023,31.056,2,0,readable physical ERA5 files present in local project tree
Shanghai,1,1,2019-06-01,2019-06-01,20.605,24.909,24.909,0,0,readable physical ERA5 files present in local project tree
Singapore,11,11,2023-06-01,2024-08-23,26.968,30.341,30.563,2,0,readable physical ERA5 files present in local project tree
